,mask_FTOC,bathy
2130,,
2131,,
2132,,
2133,,
2134,,
2135,,
2136,,
2137,,
2138,,
2139,,
2140,,
2141,,
2142,,
2143,,
2144,,
2145,,
2146,,
2147,,
2148,,
2149,,
2150,,
2151,,
2152,,
2153,,
2154,,
2155,,
2156,,
2157,,
2158,,
2159,,
2160,,723.0
2161,,707.0
2162,,665.0
2163,,589.0
2164,,542.0
2165,,528.0
2166,,497.0
2167,,474.0
2168,,470.0
2169,,477.0
2170,,482.0
2171,,497.0
2172,,530.0
2173,,537.0
2174,,536.0
2175,,526.0
2176,,521.0
2177,,512.0
2178,,472.0
2179,,448.0
2180,,438.0
2181,,431.0
2182,,434.0
2183,,438.0
2184,,433.0
2185,,409.0
2186,,395.0
2187,,390.0
2188,,383.0
2189,,376.0
2190,,370.0
2191,,392.0
2192,,417.0
2193,,430.0
2194,,438.0
2195,,477.0
2196,,521.0
2197,,454.0
2198,,445.0
2199,,480.0
2200,,509.0
2201,,549.0
2202,,593.0
2203,,624.0
2204,,643.0
2205,,631.0
2206,,651.0
2207,,687.0
2208,,698.0
2209,,751.0
2210,,789.0
2211,,755.0
2212,,748.0
2213,,764.0
2214,,773.0
2215,,768.0
2216,,771.0
2217,,728.0
2218,,664.0
2219,,409.0
2220,,346.0
2221,,507.0
2222,,527.0
2223,,760.0
2224,,840.0
2225,,846.0
2226,,593.0
2227,,257.0
2228,,39.0
2229,,
2230,,
2231,,
2232,,
2233,,
2234,,
2235,,
2236,,
2237,,16.0
2238,,71.0
2239,,159.0
2240,,386.0
2241,,823.0
2242,,789.0
2243,,607.0
2244,,373.0
2245,,209.0
2246,,417.0
2247,,495.0
2248,,433.0
2249,,396.0
2250,,474.0
2251,,436.0
2252,,342.0
2253,,462.0
2254,,410.0
2255,,453.0
2256,,587.0
2257,,715.0
2258,,785.0
2259,,627.0
2260,,453.0
2261,,423.0
2262,,486.0
2263,,582.0
2264,,641.0
2265,,776.0
2266,,814.0
2267,,735.0
2268,,574.0
2269,,520.0
2270,,519.0
2271,,468.0
2272,,429.0
2273,,339.0
2274,,267.0
2275,,360.0
2276,,577.0
2277,,1170.0
2278,,1677.0
2279,,1515.0
2280,,1215.0
2281,,467.0
2282,,
2283,,
2284,,
2285,,
2286,,
2287,,
2288,,
2289,,
2290,,
2291,,680.0
2292,,1055.0
2293,,645.0
2294,,216.0
2295,,130.0
2296,,160.0
2297,,236.0
2298,,80.0
2299,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2308,,
2309,,
2310,,
2311,,
2312,,
2313,,21.0
2314,,63.0
2315,,101.0
2316,,109.0
2317,,112.0
2318,,134.0
2319,,141.0
2320,,133.0
2321,,114.0
2322,,110.0
2323,,109.0
2324,,90.0
2325,,70.0
2326,,75.0
2327,,88.0
2328,,87.0
2329,,73.0
2330,,73.0
2331,,85.0
2332,,73.0
2333,,50.0
2334,,47.0
2335,,49.0
2336,,42.0
2337,,23.0
2338,,21.0
2339,,31.0
2340,,21.0
2341,,12.0
2342,,21.0
2343,,29.0
2344,,25.0
2345,,16.0
2346,,22.0
2347,,36.0
2348,,38.0
2349,,39.0
2350,,53.0
2351,,71.0
2352,,75.0
2353,,83.0
2354,,141.0
2355,,147.0
2356,,150.0
2357,,241.0
2358,,284.0
2359,,244.0
2360,,209.0
2361,,156.0
2362,,113.0
2363,,49.0
2364,,18.0
2365,,
2366,,
2367,,
2368,,
2369,,
2370,,
2371,,
2372,,
2373,,
2374,,
2375,,
2376,,
2377,,
2378,,
2379,,
2380,,
2381,,
2382,,
2383,,
2384,,
2385,,
2386,,
2387,,
2388,,
2389,,
2390,,
2391,,
2392,,
2393,,
2394,,
2395,,
2396,,
2397,,
2398,,
2399,,
2400,,
2401,,
2402,,
2403,,
2404,,
2405,,
2406,,
2407,,
2408,,
2409,,
2410,,
2411,,
2412,,
2413,,
2414,,
2415,,
2416,,
2417,,
2418,,
2419,,
2420,,
2421,,
2422,,
2423,,
2424,,
2425,,
2426,,
2427,,
2428,,
2429,,
2430,,
2431,,
2432,,
2433,,
2434,,
2435,,
2436,,
2437,,
2438,,
2439,,
2440,,
2441,,
2442,,
2443,,
2444,,
2445,,
2446,,
2447,,30.0
2448,,13.0
2449,,
2450,,
2451,,152.0
